match, created_at, move_num, from_coord, to_coord, notation, castled
dean_vs_paul, 2010-01-01 00:00:01, 1, d2, d4, d4,
dean_vs_paul, 2010-01-01 00:00:02, 2, g8, f6, Nf6,
dean_vs_paul, 2010-01-01 00:00:03, 3, e2, e3, e3,
dean_vs_paul, 2010-01-01 00:00:04, 4, e7, e6, e6,
ready_to_capture, 2010-01-01 00:00:01, 1, e2, e4, e4,
ready_to_capture, 2010-01-01 00:00:02, 2, d7, d5, d5,
castled, 2010-01-01 00:00:01, 1, e2, e4, e4,
castled, 2010-01-01 00:00:02, 2, e7, e5, e5,
castled, 2010-01-01 00:00:03, 3, f1, d3, Bd3,
castled, 2010-01-01 00:00:04, 4, f8, d6, Bd6,
castled, 2010-01-01 00:00:05, 5, g1, f3, Nf3,
castled, 2010-01-01 00:00:06, 6, g8, f6, Nf6,
castled, 2010-01-01 00:00:07, 7, e1, g1, O-O,1
queenside_castled, 2010-01-01 00:00:01, 1, d2, d4, d4,
queenside_castled, 2010-01-01 00:00:02, 2, d7, d5, d5,
queenside_castled, 2010-01-01 00:00:03, 3, c1, e3, Be3,
queenside_castled, 2010-01-01 00:00:04, 4, c8, e6, Be6,
queenside_castled, 2010-01-01 00:00:05, 5, d1, d3, Qd3,
queenside_castled, 2010-01-01 00:00:06, 6, d8, d6, Qd6,
queenside_castled, 2010-01-01 00:00:07, 7, b1, d2, Nd2,
queenside_castled, 2010-01-01 00:00:08, 8, b8, c6, Nc6,
scholars_mate, 2010-01-01 00:00:01, 1, e2, e4, e4,
scholars_mate, 2010-01-01 00:00:02, 2, b8, c6, Nc6,
scholars_mate, 2010-01-01 00:00:03, 3, f1, c4, Bc4 ,
scholars_mate, 2010-01-01 00:00:04, 4, e7, e5, e5 ,
scholars_mate, 2010-01-01 00:00:05, 5, d1, f3, Qf3,
scholars_mate, 2010-01-01 00:00:06, 6, f8, c5, Bc5,
promote_crazy, 2010-01-01 00:00:07, 1, c2, c4, c4,
promote_crazy, 2010-01-01 00:00:08, 2, e7, e5, e5,
promote_crazy, 2010-01-01 00:00:09, 3, c4, c5, c5,
promote_crazy, 2010-01-01 00:00:10, 4, b8, a6, Na6,
promote_crazy, 2010-01-01 00:00:11, 5, c5, c6, c6,
promote_crazy, 2010-01-01 00:00:12, 6, e8, e7, Ke7,
promote_crazy, 2010-01-01 00:00:13, 7, c6, b7, cxb7,
legal, 2010-01-01 00:00:01, 1, e2, e4, e4,
legal, 2010-01-01 00:00:02, 2, e7, e5, e5,
legal, 2010-01-01 00:00:03, 3, g1, f3, Nf3,
legal, 2010-01-01 00:00:04, 4, d7, d6, d6,
legal, 2010-01-01 00:00:05, 5, f1, c4, Bc4,
legal, 2010-01-01 00:00:06, 6, c8, g4, Bg4,
legal, 2010-01-01 00:00:07, 7, b1, c3, Nc3,
legal, 2010-01-01 00:00:08, 8, b8, c6, Nc6,
legal, 2010-01-01 00:00:09, 9, f3, e5, Nxe5,
legal, 2010-01-01 00:00:10, 10, g4, d1, Bxd1,
legal, 2010-01-01 00:00:11, 11, c4, f7, Bxf7+,
legal, 2010-01-01 00:00:12, 12, e8, e7, Ke7,
legal, 2010-01-01 00:00:13, 13, c3, d5, Nd5#,
immortal, 2010-01-01 00:00:01, 1, , , e4,
immortal, 2010-01-01 00:00:02, 2, , , e5,
immortal, 2010-01-01 00:00:03, 3, , , f4,
immortal, 2010-01-01 00:00:04, 4, , , exf4,
immortal, 2010-01-01 00:00:05, 5, , , Bc4,
immortal, 2010-01-01 00:00:06, 6, , , Qh4+,
immortal, 2010-01-01 00:00:07, 7, , , Kf1,
immortal, 2010-01-01 00:00:08, 8, , , b5,
immortal, 2010-01-01 00:00:09, 9, , , Bxb5,
immortal, 2010-01-01 00:00:10, 10, , , Nf6,
immortal, 2010-01-01 00:00:11, 11, , , Nf3,
immortal, 2010-01-01 00:00:12, 12, , , Qh6,
immortal, 2010-01-01 00:00:13, 13, , , d3,
immortal, 2010-01-01 00:00:14, 14, , , Nh5,
immortal, 2010-01-01 00:00:15, 15, , , Nh4,
immortal, 2010-01-01 00:00:16, 16, , , Qg5,
immortal, 2010-01-01 00:00:17, 17, , , Nf5,
immortal, 2010-01-01 00:00:18, 18, , , c6,
immortal, 2010-01-01 00:00:19, 19, , , g4,
immortal, 2010-01-01 00:00:20, 20, , , Nf6,
immortal, 2010-01-01 00:00:21, 21, , , Rg1,
immortal, 2010-01-01 00:00:22, 22, , , cxb5,
immortal, 2010-01-01 00:00:23, 23, , , h4,
immortal, 2010-01-01 00:00:24, 24, , , Qg6,
immortal, 2010-01-01 00:00:25, 25, , , h5,
immortal, 2010-01-01 00:00:26, 26, , , Qg5,
immortal, 2010-01-01 00:00:27, 27, , , Qf3,
immortal, 2010-01-01 00:00:28, 28, , , Ng8,
immortal, 2010-01-01 00:00:29, 29, , , Bxf4,
immortal, 2010-01-01 00:00:30, 30, , , Qf6,
immortal, 2010-01-01 00:00:31, 31, , , Nc3,
immortal, 2010-01-01 00:00:32, 32, , , Bc5,
